numasuite_sku,current_shopify_sku,proposed_sku,match_method,confidence,numasuite_title,shopify_title,numasuite_ean,shopify_barcode,needs_review,review_reason
118552635/0,ACC-DEFL-84CM,118552635/0,tfidf+rapidfuzz,43.72,STARTER MOTOR,Rear Deflector Flor 84cm Mountfield/Stiga Tractors,,,yes,no NumaSuite EAN; title score 43.7 < 85.0
118552640/0,R210,118552640/0,tfidf+rapidfuzz,37.65,IGNITION COIL,Rato Horizontal Engine,,,yes,no NumaSuite EAN; title score 37.6 < 85.0
118736112/0,R210,118736112/0,tfidf+rapidfuzz,34.5,SOLENOID,Rato Horizontal Engine,,,yes,no NumaSuite EAN; title score 34.5 < 85.0
118805076/0,R210,118805076/0,tfidf+rapidfuzz,44.66,WORM PINION,Rato Horizontal Engine,,,yes,no NumaSuite EAN; title score 44.7 < 85.0
118806444/0,SBSCSC,118806444/0,tfidf+rapidfuzz,35.83,GEARBOX ASSY,Spectrum SBSCSC 40V Fast Battery Charger (2A),,5065022450696,yes,no NumaSuite EAN; title score 35.8 < 85.0
118806445/0,STIG-13-3916-61,118806445/0,tfidf+rapidfuzz,97.0,DUST COVER,Stiga Dust Cover for 85cm Front-Mounted Sweeper | 13-3916-61,,7313321308902,yes,no NumaSuite EAN
118806453/0,R210,118806453/0,tfidf+rapidfuzz,40.71,WORM PINION GASKET,Rato Horizontal Engine,,,yes,no NumaSuite EAN; title score 40.7 < 85.0
118850487/0,2T2010483/M25,118850487/0,tfidf+rapidfuzz,60.98,MOBILE BAR DRIVE PLATE KIT,Mountfield T30M Gear Drive 2-in-1 Lawn Tractor,,8008984869042,yes,no NumaSuite EAN; title score 61.0 < 85.0
119410605/1,TG480RTTR,119410605/1,tfidf+rapidfuzz,35.6,MICRO SWITCH,"Spectrum TG480RTTR Rear-Tine Petrol Cultivator — 211cc, 48cm Working Width",,5061122340196,yes,no NumaSuite EAN; title score 35.6 < 85.0
12031481,STIG-80V-HARNESS,12031481,tfidf+rapidfuzz,97.0,BATTERY,Stiga 80v Battery Harness,,0000000000000,yes,no NumaSuite EAN
122399900/0,CS-3410,122399900/0,tfidf+rapidfuzz,49.06,HANDWHEEL - 3 SPOKE,Echo CS-3410 Petrol 2-Stroke Chainsaw,,,yes,no NumaSuite EAN; title score 49.1 < 85.0
122680006/1,SMP-LFT745,122680006/1,tfidf+rapidfuzz,74.11,PLASTIC WASHER,Lifetime 7x4.5 Heavy Duty Plastic Shed,,5055280403312,yes,no NumaSuite EAN; title score 74.1 < 85.0
125038000/0,GC-SC4240P-RTN,125038000/0,tfidf+rapidfuzz,27.21,BUSH,Einhell GC-SC 4240-P Petrol Lawn Scarifier - Refurbished,,4006825638073,yes,no NumaSuite EAN; title score 27.2 < 85.0
125430218/1,STIG-2F5820425/ST1,125430218/1,tfidf+rapidfuzz,78.54,DECK LIFT SPRING STIGA,Stiga Park 300 RC Front-Cut Ride-On Lawnmower (Inc. 95cm Electric-Lift Deck),,0,yes,no NumaSuite EAN; title score 78.5 < 85.0
125510072/1,R210,125510072/1,tfidf+rapidfuzz,32.35,BOLT,Rato Horizontal Engine,,,yes,no NumaSuite EAN; title score 32.3 < 85.0
125601559/1,TG561-SWT,125601559/1,tfidf+rapidfuzz,35.59,TOOTHED PULLEY Z2,Spectrum TG561-SWT Self Propelled Wheeled Trimmer,,5065022450511,yes,no NumaSuite EAN; title score 35.6 < 85.0
125943014/0,FST212-RTN,125943014/0,tfidf+rapidfuzz,45.11,FLANGE SCREW,Feider FST212 Petrol Lawn Scarifier - RTN,,3661602022424,yes,no NumaSuite EAN; title score 45.1 < 85.0
126505332951,GW-G60B5,126505332951,tfidf+rapidfuzz,72.78,BATTERY 12V 5AH YB5LB,Greenworks 60v/5Ah Lithium-Ion Battery | G60B5,,6952909031361,yes,no NumaSuite EAN; title score 72.8 < 85.0
127034078/0,MF-S46-PD-LI,127034078/0,tfidf+rapidfuzz,61.35,MOUNTFIELD BLADE ENGAGE CONTROL ROD,Mountfield S46-PD LI 4-in-1 Power-Driven Cordless Lawnmower,,8008984510913,yes,no NumaSuite EAN; title score 61.4 < 85.0
13031004560,JR-FAA0004,13031004560,tfidf+rapidfuzz,82.11,AIR FILTER     ECHO,AIR FILTER BR690610 498596 697029,,3760011421443,yes,no NumaSuite EAN; title score 82.1 < 85.0
1330M-RET,1330M-XDISP,1330M-RET,tfidf+rapidfuzz,84.74,MOUNTFIELD 1330M - EX DEMO,Mountfield T30M Rear-Collect Lawn Tractor with Manual Drive - Ex Demo,,8008984869042,yes,no NumaSuite EAN; title score 84.7 < 85.0
134-2552,HF2625HTEH,134-2552,tfidf+rapidfuzz,44.64,HAYTER VARIATOR CABLE,Honda HF 2625 HTE Premium Lawn Tractor,,,yes,no NumaSuite EAN; title score 44.6 < 85.0
135061404/0,FST212-RTN,135061404/0,tfidf+rapidfuzz,35.47,TRANSMISSION BELT,Feider FST212 Petrol Lawn Scarifier - RTN,,3661602022424,yes,no NumaSuite EAN; title score 35.5 < 85.0
1401251,STIG-278131808/St1,1401251,tfidf+rapidfuzz,54.0,EXHAUST -                                 FITS FRT75BS125,Stiga Fast Charger | Fits E-Ride Models,,,yes,no NumaSuite EAN; title score 54.0 < 85.0
1449,JR-FAE0001,1449,tfidf+rapidfuzz,97.0,FUEL FILTER,FUEL FILTER RIDER -                        WP73112,,3760011421528,yes,no NumaSuite EAN
1530H-RET,1330M-XDISP,1530H-RET,tfidf+rapidfuzz,86.35,MOUNTFIELD 1530H TRACTOR - EX DEMO,Mountfield T30M Rear-Collect Lawn Tractor with Manual Drive - Ex Demo,,8008984869042,yes,no NumaSuite EAN
15336052,STIG-278131808/St1,15336052,tfidf+rapidfuzz,57.35,FUEL TANK    FAST 175,Stiga Fast Charger | Fits E-Ride Models,,,yes,no NumaSuite EAN; title score 57.3 < 85.0
16334063,2T2010483/M25,16334063,tfidf+rapidfuzz,69.51,DRIVE CABLE,Mountfield T30M Gear Drive 2-in-1 Lawn Tractor,,8008984869042,yes,no NumaSuite EAN; title score 69.5 < 85.0
